classe;admissible;terme;commentaire;source;privilegie;page;ligne_page
1;;préparations pour le diagnostic autres qu'à usage médical ou vétérinaire;;OMPI;;5;27
1;;dextrine (apprêt);;OMPI;;5;28
1;;détergents (détersifs) utilisés au cours d'opérations de fabrication;;OMPI;;5;29
1;;désincrustants;;OMPI;;5;30
1;;déshydratants à usage industriel;;OMPI;;5;31
1;;préparations déshydratantes à usage industriel;;OMPI;;5;32
1;;matières à dépolir;;OMPI;;5;33
1;;produits pour faciliter le démoulage;;OMPI;;5;34
1;;préparations de démoulage;;OMPI;;5;35
1;;défoliants;;OMPI;;5;36
1;;produits de décreusage;;OMPI;;5;37
1;;produits chimiques pour la dissociation des huiles;;OMPI;;5;38
1;;produits chimiques pour la séparation des huiles;;OMPI;;5;39
1;;produits pour la dissociation des huiles;;OMPI;;5;40
1;;produits pour décoller;;OMPI;;5;41
1;;agents de dégraissage utilisés au cours d'opérations de fabrication;;OMPI;;5;42
1;;agents de dégraissage à utiliser dans le cadre d'opérations de fabrication;;OMPI;;5;43
1;;préparations de dégraissage utilisées au cours d'opérations de fabrication;;OMPI;;5;44
1;;préparations dégraissantes utilisées au cours d'opérations de fabrication;;OMPI;;5;45
1;;cymène;;OMPI;;5;46
1;;ferrocyanures;;OMPI;;5;47
1;;cyanures;;OMPI;;5;48
1;;cyanures (prussiates);;OMPI;;5;49
1;;prussiates;;OMPI;;5;50
1;;solutions pour la cyanotypie;;OMPI;;5;51
1;;curium;;OMPI;;5;52
1;;sulfate de cuivre;;OMPI;;5;53
1;;sulfate de cuivre (vitriol bleu);;OMPI;;5;54
1;;vitriol bleu;;OMPI;;5;55
1;;produits chimiques pour l'imprégnation du cuir;;OMPI;;5;56
1;;produits pour l'habillage des cuirs;;OMPI;;5;57
1;;colles pour le cuir;;OMPI;;5;58
1;;produits cryogéniques;;OMPI;;5;59
1;;préparations cryogéniques;;OMPI;;5;60
1;;aldéhyde crotonique;;OMPI;;5;61
1;;crotonaldéhyde;;OMPI;;5;62
1;;crème de tartre à usage chimique;;OMPI;;5;63
1;;produits pour le corroyage des peaux;;OMPI;;5;64
1;;produits pour le corroyage des cuirs;;OMPI;;5;65
1;;produits corrosifs;;OMPI;;5;66
1;;préparations corrosives;;OMPI;;5;67
1;;plaques photosensibles;;OMPI;;5;68
1;;toile sensibilisée pour la photographie;;OMPI;;5;69
1;;produits chimiques pour la photographie;;OMPI;;5;70
1;;préparations chimiques pour la photographie;;OMPI;;5;71
1;;produits pour la conservation des fleurs;;OMPI;;5;72
1;;confits (mégisserie);;OMPI;;5;73
1;;sels pour la coloration des métaux;;OMPI;;5;74
1;;collodion;;OMPI;;5;75
1;;colle à vin;;OMPI;;5;76
1;;colles pour le tapissage;;OMPI;;5;77
1;;colles pour papiers peints;;OMPI;;5;78
1;;colles pour tapissage;;OMPI;;5;79
1;;colles (apprêts);;OMPI;;5;80
1;;produits pour le collage des moûts;;OMPI;;5;81
1;;acide citrique à usage industriel;;OMPI;;5;82
1;;cire à greffer les arbres;;OMPI;;5;83
1;;fluides pour circuits hydrauliques;;OMPI;;5;84
1;;liquides pour circuits hydrauliques;;OMPI;;5;85
1;;produits pour la conservation du ciment à l'exception des peintures et des huiles;;OMPI;;5;86
1;;produits chimiques pour l'imperméabilisation du ciment à l'exception des peintures;;OMPI;;5;87
1;;ciments pour la réparation des objets cassés;;OMPI;;5;88
1;;mastics pour pneumatiques;;OMPI;;5;89
1;;mastics pour le cuir;;OMPI;;5;90
1;;acide chromique;;OMPI;;5;91
1;;sels de chrome;;OMPI;;5;92
1;;oxyde de chrome;;OMPI;;5;93
1;;alun de chrome;;OMPI;;5;94
1;;chromates;;OMPI;;5;95
1;;acide cholique;;OMPI;;5;96
1;;acide chlorhydrique;;OMPI;;5;97
1;;chlorhydrates;;OMPI;;5;98
1;;chlore;;OMPI;;5;99
1;;chlorates;;OMPI;;5;100
1;;produits chimiques pour analyses en laboratoire autres qu'à usage médical ou vétérinaire;;OMPI;;6;1
1;;éléments chimiques fissiles;;OMPI;;6;2
1;;modérateurs pour réacteurs nucléaires;;OMPI;;6;3
1;;réactifs chimiques autres qu'à usage médical ou vétérinaire;;OMPI;;6;4
1;;préparations chimiques à usage scientifique autres qu'à usage médical ou vétérinaire;;OMPI;;6;5
1;;produits chimiques destinés à l'industrie;;OMPI;;6;6
1;;produits chimiques pour l'industrie;;OMPI;;6;7
